buildId	branchURL
230281084	https://github.com/Spirals-Team/librepair-experiments/tree/jamesagnew-hapi-fhir-230281084-20170509-121547_bugonly
247176597	https://github.com/Spirals-Team/librepair-experiments/tree/spotify-cassandra-reaper-247176597-20170626-183833_bugonly
251980685	https://github.com/Spirals-Team/librepair-experiments/tree/xmlunit-xmlunit-251986438-20170710-145258
259942020	https://github.com/Spirals-Team/librepair-experiments/tree/apache-pdfbox-259942020-20170801-232557_bugonly
282893500	https://github.com/Spirals-Team/librepair-experiments/tree/LiveRamp-hank-282893500-20171003-215450_bugonly
284933348	https://github.com/Spirals-Team/librepair-experiments/tree/spring-cloud-spring-cloud-dataflow-284933348-20171008-064257_bugonly
289573807	https://github.com/Spirals-Team/librepair-experiments/tree/IQSS-dataverse-289573807-20171018-175734_bugonly
307652655	https://github.com/Spirals-Team/librepair-experiments/tree/bonigarcia-webdrivermanager-307652655-20171127-003136_bugonly
307649435	https://github.com/Spirals-Team/librepair-experiments/tree/bonigarcia-webdrivermanager-307649435-20171127-001847_bugonly
307660977	https://github.com/Spirals-Team/librepair-experiments/tree/bonigarcia-webdrivermanager-307672023-20171127-015508
319286304	https://github.com/Spirals-Team/librepair-experiments/tree/GeoWebCache-geowebcache-319286304-20171220-183224_bugonly
256229721	https://github.com/Spirals-Team/librepair-experiments/tree/IQSS-dataverse-256901784-20170724-161615
267063678	https://github.com/Spirals-Team/librepair-experiments/tree/timmolter-XChange-267099925-20170822-110804
261485842	https://github.com/Spirals-Team/librepair-experiments/tree/phax-jcodemodel-261486580-20170806-111256
322721060	https://github.com/Spirals-Team/librepair-experiments/tree/phoenixnap-springmvc-raml-plugin-322722110-20171229-010421
